一级行业代码,二级行业代码,三级行业代码,一级行业名称,二级行业名称,三级行业名称
110000,,,农林牧渔,,
,110100,,,种植业,
,,110101,,,种子生产
,,110102,,,果蔬生产
,,110103,,,其他种植业
,110200,,,渔业,
,,110201,,,海洋捕捞
,,110202,,,水产养殖
,110300,,,林业,
,,110301,,,林业
,110400,,,饲料,
,,110401,,,饲料
,110500,,,农产品加工,
,,110501,,,果蔬加工
,,110502,,,粮油加工
,,110503,,,畜禽加工
,110600,,,农业综合,
,,110601,,,农业综合
210000,,,采掘,,
,210100,,,石油开采,
,,210101,,,石油开采
,210200,,,煤炭开采,
,,210201,,,煤炭开采
,,210202,,,焦炭加工
,210300,,,其他采掘,
,,210301,,,其他采掘
220000,,,化工,,
,220100,,,石油化工,
,,220101,,,石油加工
,,220103,,,石油贸易
,220200,,,化学原料,
,,220201,,,纯碱
,,220202,,,氯碱
,,220203,,,无机盐
,,220204,,,其他化学原料
,220300,,,化学制品,
,,220301,,,氮肥
,,220302,,,磷肥
,,220303,,,农药
,,220304,,,日用化学产品
,,220305,,,涂料油漆制造
,,220306,,,钾肥
,220400,,,化学纤维,
,,220401,,,涤纶
,,220402,,,维纶
,,220403,,,粘胶
,,220404,,,其他纤维
,220500,,,塑料,
,,220501,,,塑料
,220600,,,橡胶,
,,220601,,,轮胎
,220700,,,化工新材料,
,,220701,,,化工新材料
230000,,,黑色金属,,
,230100,,,钢铁,
,,230101,,,普钢
,,230102,,,特钢
,230200,,,金属制品,
,,230201,,,金属制品
240000,,,有色金属,,
,240100,,,有色金属冶炼,
,,240102,,,铝
,,240103,,,铜
,,240104,,,铅锌
,,240105,,,黄金
,,240106,,,小金属
,240200,,,金属新材料,
,,240201,,,金属新材料
250000,,,建筑建材,,
,250100,,,建筑材料,
,,250101,,,玻璃制造
,,250102,,,水泥制造
,,250103,,,陶瓷制造
,,250104,,,其他建材
,250200,,,建筑装饰,
,,250201,,,建筑施工
,,250202,,,装修装饰
260000,,,机械设备,,
,260100,,,普通机械,
,,260101,,,机床工具
,,260102,,,机械基础件
,,260103,,,磨具磨料
,,260104,,,内燃机
,,260105,,,制冷空调设备
,,260106,,,其它普通机械
,260200,,,专用设备,
,,260201,,,纺织服装设备
,,260202,,,建筑机械
,,260203,,,农用机械
,,260204,,,重型机械
,,260205,,,冶金矿采设备
,,260206,,,印刷包装机械
,,260207,,,其它专用机械
,260300,,,仪器仪表,
,,260301,,,仪器仪表
,260400,,,电气设备,
,,260401,,,电机
,,260402,,,电气自控设备
,,260403,,,电源设备
,,260404,,,输变电设备
,,260405,,,其他电力设备
270000,,,电子元器件,,
,270100,,,半导体,
,,270101,,,集成电路
,,270102,,,分立器件
,,270103,,,半导体材料
,270200,,,元件,
,,270201,,,元件
,270300,,,显示器件,
,,270301,,,显示器件
,270400,,,其他电子器件,
,,270401,,,其他电子器件
310000,,,交运设备,,
,310100,,,汽车整车,
,,310101,,,乘用车
,,310102,,,商用载货车
,,310103,,,商用载客车
,,310104,,,专用汽车
,310200,,,汽车零部件,
,,310201,,,汽车零部件
,310300,,,非汽车交运设备,
,,310301,,,摩托车
,,310302,,,农机设备
,,310304,,,航空航天设备
,,310305,,,船舶制造
,,310306,,,铁路设备
,310400,,,汽车服务,
,,310401,,,汽车销售
320000,,,信息设备,,
,320100,,,通信设备,
,,320101,,,交换设备
,,320102,,,终端设备
,,320103,,,通信传输设备
,320200,,,计算机设备,
,,320201,,,计算机设备
330000,,,家用电器,,
,330100,,,白色家电,
,,330101,,,冰箱
,,330102,,,空调
,,330103,,,洗衣机
,,330104,,,小家电
,,330105,,,其他白色家电
,330200,,,视听器材,
,,330201,,,彩电
,,330202,,,其它视听器材
340000,,,食品饮料,,
,340100,,,食品加工,
,,340101,,,肉制品
,,340102,,,制糖
,,340103,,,食品综合
,340200,,,食品制造,
,,340201,,,调味发酵品
,,340202,,,乳品
,340300,,,饮料制造,
,,340301,,,白酒
,,340302,,,啤酒
,,340303,,,其他酒类
,,340304,,,软饮料
,,340305,,,葡萄酒
350000,,,纺织服装,,
,350100,,,纺织,
,,350101,,,毛纺
,,350102,,,棉纺
,,350103,,,丝绸
,,350104,,,印染
,350200,,,服装,
,,350201,,,服装
360000,,,轻工制造,,
,360100,,,造纸,
,,360101,,,造纸
,360200,,,包装印刷,
,,360201,,,包装印刷
,360300,,,其他轻工制造,
,,360301,,,其他轻工制造
,,360302,,,家具
,,360303,,,家用轻工
370000,,,医药生物,,
,370100,,,化学制药,
,,370101,,,化学原料药
,,370102,,,化学制剂
,,370103,,,化学药
,370200,,,中药,
,,370201,,,中药
,370300,,,生物制品,
,,370301,,,生物制品
,370400,,,医药商业,
,,370401,,,医药商业
,370500,,,医疗器械,
,,370501,,,医疗器械
,370600,,,医疗服务,
,,370601,,,医疗服务
410000,,,公用事业,,
,410100,,,电力,
,,410101,,,火电
,,410102,,,水电
,,410103,,,燃机发电
,,410104,,,热电
,410200,,,水务,
,,410201,,,水务
,410300,,,燃气,
,,410301,,,燃气
,410400,,,环保,
,,410401,,,环保
420000,,,交通运输,,
,420100,,,港口,
,,420101,,,港口
,420200,,,路桥,
,,420201,,,路桥
,420300,,,公路运输,
,,420301,,,公路运输
,420400,,,航空运输,
,,420401,,,航空运输
,420500,,,机场,
,,420501,,,机场
,420600,,,水路运输,
,,420601,,,水路运输
,420700,,,铁路运输,
,,420701,,,铁路运输
,420800,,,物流,
,,420801,,,物流
430000,,,房地产,,
,430100,,,房地产开发,
,,430101,,,房地产开发
,430200,,,园区开发,
,,430201,,,园区开发
440000,,,金融服务,,
,440100,,,银行,
,,440101,,,银行
,440200,,,信托,
,,440201,,,信托
,440300,,,证券,
,,440301,,,证券
,440400,,,保险,
,,440401,,,保险
450000,,,商业贸易,,
,450100,,,零售,
,,450101,,,百货零售
,,450102,,,专业连锁
,,450103,,,商业物业经营
,450200,,,贸易,
,,450201,,,贸易
460000,,,餐饮旅游,,
,460100,,,景点,
,,460101,,,人工景点
,,460102,,,自然景点
,460200,,,酒店,
,,460201,,,酒店
,460300,,,旅游综合,
,,460301,,,旅游综合
,460400,,,餐饮,
,,460401,,,餐饮
470000,,,信息服务,,
,470100,,,通信运营,
,,470101,,,通信运营
,470200,,,网络服务,
,,470201,,,互联网信息服务
,,470202,,,宽带网络服务
,,470203,,,其它信息服务
,,470204,,,有线电视网络
,470300,,,计算机应用,
,,470301,,,计算机应用
,470400,,,传媒,
,,470401,,,出版
,,470402,,,广播电影电视
510000,,,综合,,
,510100,,,综合,
,,510101,,,综合
